,Name,Code
0,F&F홀딩스,007700
1,공구우먼,366030
2,TBH글로벌,084870
3,배럴,267790
4,호전실업,111110
5,그리티,204020
6,형지I&C,011080
7,조광피혁,004700
8,삼양통상,002170
9,대한방직,001070
10,진도,088790
11,영원무역,111770
12,전방,000950
13,신세계인터내셔날,031430
14,일신방직,003200
15,영원무역홀딩스,009970
16,휠라홀딩스,081660
17,휴비스,079980
18,좋은사람들,033340
19,지엔코,065060
20,태평양물산,007980
21,비케이탑스,030790
22,메타랩스,090370
23,BYC,001460
24,코데즈컴바인,047770
25,한섬,020000
26,유니켐,011330
27,씨앤투스성진,352700
28,패션플랫폼,225590
29,엠에프엠코리아,323230
30,디케이앤디,263020
31,윌비스,008600
32,LF,093050
33,더네이쳐홀딩스,298540
34,BYC우,001465
35,SG세계물산,004060
36,까스텔바작,308100
37,화승인더,006060
38,신영와코루,005800
39,화승엔터프라이즈,241590
40,한세예스24홀딩스,016450
41,이스트아시아홀딩스,900110
42,대현,016090
43,덕성우,004835
44,경방,000050
45,인바이오젠,101140
46,크리스에프앤씨,110790
47,원풍물산,008290
48,F&F,383220
49,백산,035150
50,쌍방울,102280
51,에스티오,098660
52,신원,009270
53,브랜드엑스코퍼레이션,337930
54,한세실업,105630
55,제이에스티나,026040
56,LS네트웍스,000680
57,젬백스링크,064800
58,비비안,002070
59,형지엘리트,093240
60,국동,005320
61,아가방컴퍼니,013990
62,골드퍼시픽,038530
63,에스제이그룹,306040
64,윙스풋,335870
65,방림,003610
66,대원화성,024890
67,토박스코리아,215480
68,코웰패션,033290
69,덕성,004830
70,DI동일,001530
71,제로투세븐,159580
72,성안,011300
73,제이에스코퍼레이션,194370
74,신성통상,005390
75,효성티앤씨,298020
76,감성코퍼레이션,036620
77,아즈텍WB,032080
78,폴라리스우노,114630
79,인디에프,014990
80,한세엠케이,069640
