,Name,Code
0,현우산업,092300
1,이브이첨단소재,131400
2,아이디스,143160
3,퓨런티어,370090
4,슈프리마아이디,317770
5,솔루스첨단소재2우B,33637L
6,솔루스첨단소재,336370
7,위드텍,348350
8,백금T&A,046310
9,유일에너테크,340930
10,LG이노텍,011070
11,심텍,222800
12,코리아써우,007815
13,윈텍,320000
14,에스티큐브,052020
15,인터엠,017250
16,고영,098460
17,상신전자,263810
18,파나케이아,058530
19,상아프론테크,089980
20,ITX-AI,099520
21,에스디시스템,121890
22,솔루스첨단소재1우,33637K
23,유니온커뮤니티,203450
24,포인트모바일,318020
25,슈프리마에이치큐,094840
26,뉴프렉스,085670
27,아모그린텍,125210
28,센코,347000
29,에스텍,069510
30,씨엔플러스,115530
31,아이씨에이치,368600
32,삼양옵틱스,225190
33,대덕전자1우,35320K
34,에이프로,262260
35,디에이피,066900
36,S&K폴리텍,091340
37,대덕전자,353200
38,솔루엠,248070
39,브이원텍,251630
40,이랜시스,264850
41,코리아써키트2우B,00781K
42,에스에이엠티,031330
43,빛샘전자,072950
44,삼성전기우,009155
45,이수페타시스,007660
46,심텍홀딩스,036710
47,포커스에이치엔에스,331380
48,하나기술,299030
49,일진머티리얼즈,020150
50,삼성전기,009150
51,슈프리마,236200
52,대덕,008060
53,제이앤티씨,204270
54,동일기연,032960
55,엠투아이,347890
56,자화전자,033240
57,매커스,093520
58,바이오스마트,038460
59,우리기술,032820
60,대덕1우,00806K
61,대주전자재료,078600
62,파크시스템스,140860
63,삼화전자,011230
64,모아텍,033200
65,카스,016920
66,옵트론텍,082210
67,필옵틱스,161580
68,인콘,083640
69,에이엔피,015260
70,이트론,096040
71,코리아써키트,007810
72,에이치시티,072990
73,삼진엘앤디,054090
74,아이티엠반도체,084850
75,소니드,060230
76,써니전자,004770
77,광전자,017900
78,인터플렉스,051370
79,비에이치,090460
80,삼영에스앤씨,361670
81,모다이노칩,080420
82,제이씨현시스템,033320
83,태성,323280
84,엔시스,333620
85,세코닉스,053450
86,대동전자,008110
87,디티앤씨,187220
88,옴니시스템,057540
89,다원시스,068240
90,남성,004270
91,윤성에프앤씨,372170
92,탑머티리얼,360070
93,노블엠앤비,106520
94,셀피글로벌,068940
95,펨트론,168360
