,Name,Code
0,일진파워,094820
1,KT서브마린,060370
2,동부건설우,005965
3,진흥기업2우B,002787
4,에쓰씨엔지니어링,023960
5,금호건설우,002995
6,한양이엔지,045100
7,웰크론,065950
8,금호건설,002990
9,HDC랩스,039570
10,HJ중공업,097230
11,까뮤이앤씨,013700
12,한미글로벌,053690
13,HDC현대산업개발,294870
14,성도이엔지,037350
15,셀루메드,049180
16,코오롱글로벌우,003075
17,그린플러스,186230
18,DL이앤씨우,37550K
19,삼성엔지니어링,028050
20,동부건설,005960
21,금화피에스시,036190
22,코오롱글로벌,003070
23,HDC,012630
24,삼호개발,010960
25,이엔코퍼레이션,066980
26,서희건설,035890
27,현대건설우,000725
28,웰크론한텍,076080
29,KCC건설,021320
30,국보디자인,066620
31,DL이앤씨2우(전환),37550L
32,화성산업,002460
33,도화엔지니어링,002150
34,동원개발,013120
35,세보엠이씨,011560
36,진흥기업우B,002785
37,코리아에스이,101670
38,대원,007680
39,서한,011370
40,남화토건,091590
41,자이에스앤디,317400
42,상지카일룸,042940
43,삼일기업공사,002290
44,신세계건설,034300
45,우진아이엔에스,010400
46,남광토건,001260
47,DL건설,001880
48,진흥기업,002780
49,한국종합기술,023350
50,KD,044180
51,유신,054930
52,아이에스동서,010780
53,현대건설,000720
54,대우건설,047040
55,DL이앤씨,375500
56,SGC이테크건설,016250
57,태영건설,009410
58,한신공영,004960
59,계룡건설,013580
60,이화공영,001840
61,동아지질,028100
62,GS건설,006360
63,한라,014790
64,태영건설우,009415
65,희림,037440
66,삼부토건,001470
67,동신건설,025950
68,신원종합개발,017000
69,특수건설,026150
70,일성건설,013360
71,우원개발,046940
72,범양건영,002410
