Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2015-01-02,174512.0,176378.0,2859010.0,0.24474903368544543,0.18442947594301962,10,5,15
2015-01-05,176064.0,176207.0,2137756.0,0.12941295813435816,-0.011208107690086289,5,7,15
2015-01-06,175169.0,177954.0,2170700.0,0.21641877614551885,-0.03367750734394359,7,7,15
2015-01-07,178006.0,178623.0,2547952.0,0.2883025808847399,-0.008255852276527476,6,9,15
2015-01-08,179293.0,183908.0,4468927.0,0.32227921820170835,0.23457127075110484,10,3,15
2015-01-09,184845.0,184112.0,2883489.0,0.1767610061156315,0.10213518970787705,9,3,15
2015-01-12,183965.0,185146.0,2557954.0,0.1330072326531052,0.034159313302584704,8,6,15
2015-01-13,185411.0,184076.0,2669340.0,0.12921685921659554,-0.025684457535406824,3,11,15
2015-01-14,185013.0,185461.0,4113644.0,0.1501086060050355,0.07444033157713414,9,6,15
2015-01-15,185302.0,184524.0,2974173.0,0.23000883214068046,0.052195748945292775,8,4,15
2015-01-16,183879.0,184991.0,3811050.0,0.3154380247622818,-0.0022547498248045583,5,10,15
2015-01-19,186329.0,185145.0,3345216.0,0.166008046256661,0.03656164016797658,7,7,15
2015-01-20,185083.0,184792.0,2235358.0,0.23179862162256704,-0.07006895950758352,5,9,15
2015-01-21,184399.0,184190.0,2274089.0,0.20382652984185823,0.006707085863448814,8,6,15
2015-01-22,184440.0,185597.0,2773100.0,0.25411298396681103,-0.0506764909506352,5,10,15
2015-01-23,186651.0,185000.0,1861590.0,0.1552166858351004,-0.0037013123485521993,8,7,15
2015-01-26,184243.0,186046.0,2858057.0,0.19074823372163374,0.0485464471128485,8,6,15
2015-01-27,186119.0,189706.0,2540978.0,0.29317729257011504,0.10815682489065837,9,6,15
2015-01-28,188228.0,189764.0,2934228.0,0.223695016094841,0.10433335541624023,8,5,15
2015-01-29,190617.0,189669.0,3267777.0,0.24947720631587866,0.05649962967105726,8,7,15
2015-01-30,189752.0,187483.0,3189319.0,0.25723163328927856,-0.052135422471689674,5,10,15
2015-02-02,187335.0,185986.0,2266740.0,0.226975458745312,-0.032018159829766746,7,7,15
2015-02-03,185992.0,184110.0,2805190.0,0.30177580226288325,-0.11365958843742552,4,11,15
2015-02-04,185247.0,188053.0,2729149.0,0.3217369691921561,0.2931280268094174,13,2,15
2015-02-05,187796.0,187693.0,4658227.0,0.286213955744846,0.1540348965198839,5,9,15
2015-02-06,186803.0,187917.0,2446392.0,0.1630951211131204,0.07693784843972051,8,7,15
2015-02-09,188993.0,186283.0,3654987.0,0.42055283151095824,0.0037599570388632264,4,9,15
2015-02-10,185913.0,185107.0,2982904.0,0.2799729304842965,0.05517750399243326,4,10,15
2015-02-11,186239.0,186017.0,2126074.0,0.30347763396126937,0.17943081361376156,10,4,15
2015-02-12,187007.0,188135.0,4803997.0,0.4155664746505121,0.2566879927160801,8,6,15
2015-02-13,188173.0,188553.0,5118636.0,0.2744354414859633,0.16588160092465642,7,6,15
2015-02-16,188108.0,187806.0,4071640.0,0.3317094865674661,0.05515641428337559,8,7,15
2015-02-17,188892.0,192863.0,3214343.0,0.40391265678931354,0.32438862083652753,8,5,15
2015-02-23,197451.0,191939.0,4237834.0,0.2861372583672609,0.05444476683519295,6,8,15
2015-02-24,192188.0,191267.0,5083153.0,0.23678672726907524,-0.07510742829105477,7,8,15
2015-02-25,191518.0,191125.0,5696567.0,0.3108298790188915,-0.1361112395035402,7,7,15
2015-02-26,190724.0,190490.0,3821022.0,0.20802212272071596,0.04206442208488381,7,6,15
2015-02-27,190419.0,191478.0,6465149.0,0.38906210296127763,-0.050426919632839406,9,4,15
2015-03-02,192121.0,189036.0,7457530.0,0.25345175276459686,-0.14720240320232303,5,9,15
2015-03-03,189438.0,190228.0,2908139.0,0.18369664852311263,0.14573467948588115,9,4,15
2015-03-04,190846.0,190625.0,19260055.0,0.4081960745794556,0.2296305334833041,6,7,15
2015-03-05,190792.0,191191.0,9433708.0,0.3315050131455144,0.05610817342907337,6,8,15
2015-03-06,191519.0,191466.0,7574659.0,0.2362034234431477,0.00025805662324052125,7,7,15
2015-03-09,191210.0,190452.0,5333172.0,0.3655957943766488,-0.027233877114029248,5,9,15
2015-03-10,190522.0,188283.0,5964587.0,0.35958227486443106,-0.27396621408858457,4,11,15
2015-03-11,187330.0,186449.0,4927454.0,0.3055752270198878,-0.10335699588230074,5,8,15
2015-03-12,186553.0,187009.0,7736202.0,0.1911130834951974,0.11979965719577346,8,4,15
2015-03-13,187517.0,186926.0,6093016.0,0.14968587556279123,-0.026712983600764906,6,7,15
2015-03-16,187044.0,186403.0,3449761.0,0.25209767615199563,-0.12531618527729493,8,7,15
2015-03-17,186651.0,188532.0,4533437.0,0.34235990478039036,0.12991096277768388,8,7,15
2015-03-18,188765.0,189007.0,7362082.0,0.2773841814741861,0.12884818092010064,5,8,15
2015-03-19,189393.0,187881.0,4493845.0,0.292469863917857,-0.06145085677194795,5,9,15
2015-03-20,187862.0,187674.0,3267246.0,0.16437770704243482,0.014774475083364269,7,7,15
2015-03-23,187823.0,186719.0,2959574.0,0.20162787235821078,-0.00976876799693871,5,7,15
2015-03-24,186417.0,186584.0,2511770.0,0.1858565815635158,-0.05431634319772538,7,6,15
2015-03-25,186683.0,186760.0,3206662.0,0.227605794829859,0.0870041149806896,8,5,15
2015-03-26,186385.0,188161.0,3915167.0,0.20676782237972413,0.19057054692417974,11,2,15
2015-03-27,188537.0,186962.0,3589896.0,0.2690179934717837,-0.06788423260604393,5,9,15
2015-03-30,187544.0,188685.0,7810472.0,0.2978999208122328,0.20290748941070147,11,4,15
2015-03-31,189514.0,188314.0,5309755.0,0.20905602011862479,-0.034053750070667355,6,8,15
2015-04-01,188214.0,186614.0,3953090.0,0.17264703793417435,-0.04902062531544915,6,8,15
2015-04-02,186730.0,186164.0,10055241.0,0.41434006166062975,0.21626876722879051,6,8,15
2015-04-03,185767.0,185636.0,5426755.0,0.2541842039932638,-0.06421378758146257,6,7,15
2015-04-06,186059.0,185383.0,3079156.0,0.14728605320905452,-0.02157384998549472,5,7,15
2015-04-07,186370.0,185676.0,3304386.0,0.1729703564756765,-0.02893249141844223,7,5,15
2015-04-08,185631.0,185002.0,4811594.0,0.2466734188456452,-0.03684915824849577,6,8,15
2015-04-09,185973.0,187190.0,3715242.0,0.15881889981240305,0.03592453014705155,7,7,15
2015-04-10,187411.0,186976.0,3797045.0,0.2142110211536219,-0.013185444961710369,5,7,15
2015-04-13,187203.0,186383.0,3454765.0,0.23867613687502987,-0.11794119771949818,5,9,15
2015-04-14,186543.0,184946.0,4424500.0,0.2816738674135705,-0.15857321996689244,6,7,15
2015-04-15,186779.0,188464.0,4837168.0,0.42093612768563937,0.3587580093587961,13,2,15
2015-04-16,189573.0,189329.0,5897104.0,0.3510886125430639,0.1372365166440528,9,6,15
