,Name,Code
0,포스코엠텍,009520
1,동국산업,005160
2,금강철강,053260
3,세아홀딩스,058650
4,제이스코홀딩스,023440
5,유에스티,263770
6,세아베스틸지주,001430
7,원일특강,012620
8,SHD,001770
9,대호특수강,021040
10,고려제강,002240
11,휴먼엔,032860
12,대호특수강우,021045
13,동일산업,004890
14,CS홀딩스,000590
15,POSCO홀딩스,005490
16,동일철강,023790
17,경남스틸,039240
18,광진실업,026910
19,세아제강,306200
20,한국철강,104700
21,영흥,012160
22,문배철강,008420
23,세아제강지주,003030
24,한국주철관,000970
25,TCC스틸,002710
26,현대제철,004020
27,동국제강,001230
28,동양철관,008970
29,한국특강,007280
30,삼현철강,017480
31,아주스틸,139990
32,동양에스텍,060380
33,대동스틸,048470
34,한일철강,002220
35,화인베스틸,133820
36,한국주강,025890
37,KISCO홀딩스,001940
38,대한제강,084010
39,하이스틸,071090
40,NI스틸,008260
41,조선선재,120030
42,DSR제강,069730
43,대창스틸,140520
44,세아특수강,019440
45,동일제강,002690
46,동국S&C,100130
47,한국선재,025550
48,만호제강,001080
49,부국철강,026940
50,KG스틸,016380
51,휴스틸,005010
52,KG ETS,151860
