Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2015-01-02,625703.0,624714.0,2968757.0,0.11328902235877802,-0.09399438373787039,1,4,9
2015-01-05,626392.0,622174.0,2458323.0,0.10109889174574394,-0.06579428407271515,2,6,9
2015-01-06,617879.0,611411.0,3040833.0,0.21298006418250037,-0.20236693993301258,2,7,9
2015-01-07,607879.0,625744.0,2692601.0,0.19567513664093672,0.12183242328967137,7,2,9
2015-01-08,630964.0,639442.0,3075840.0,0.13891478667330115,0.08069051324562504,5,3,9
2015-01-09,644441.0,647488.0,2902904.0,0.11723942545588384,0.10521537735969144,8,1,9
2015-01-12,645153.0,644134.0,2590132.0,0.07795623207352442,-0.06023661286375426,2,6,9
2015-01-13,650136.0,648758.0,6955977.0,0.15863066007214988,0.12386820352522054,6,1,9
2015-01-14,652053.0,645160.0,2995483.0,0.08578461202589804,-0.06170464837301304,1,7,9
2015-01-15,644322.0,633049.0,3257102.0,0.1977067975571315,-0.03301164086197461,2,7,9
2015-01-16,624725.0,615751.0,3278259.0,0.2771745928595635,-0.2771745928595635,0,9,9
2015-01-19,620377.0,617696.0,2771502.0,0.14937721266979098,0.08947045388630848,4,3,9
2015-01-20,620072.0,620787.0,2363384.0,0.1313903891651893,0.09462598154930046,6,2,9
2015-01-21,620211.0,625153.0,4395167.0,0.17796670232619305,-0.0408932115125451,2,6,9
2015-01-22,622265.0,620135.0,4529206.0,0.134846416570791,-0.03346142350266512,2,7,9
2015-01-23,623653.0,614499.0,4982157.0,0.0883545760357245,-0.0883545760357245,0,6,9
2015-01-26,607198.0,589880.0,7052303.0,0.32097203188637613,-0.13906525534364278,4,5,9
2015-01-27,591146.0,587540.0,6504269.0,0.10132496012244219,-0.009055878536479378,4,5,9
2015-01-28,588646.0,595298.0,4881839.0,0.11130397488871768,0.11130397488871768,8,0,9
2015-01-29,593321.0,594723.0,2965590.0,0.0897346627750949,-0.03138264632205312,3,6,9
2015-01-30,597925.0,595188.0,4764360.0,0.1648387833876549,0.025801136062050367,4,5,9
2015-02-02,594076.0,598136.0,3547306.0,0.16383538524612595,-0.049366083866474786,4,5,9
2015-02-03,594013.0,578493.0,3896207.0,0.19747003969441834,-0.15162553057307304,2,6,9
2015-02-04,582955.0,579981.0,3705702.0,0.10012549608051924,0.03515154755582317,5,3,9
2015-02-05,578570.0,576468.0,2680315.0,0.09065030947905939,-0.0410680827287071,4,5,9
2015-02-06,574646.0,564222.0,5163136.0,0.1546855582118385,-0.1257346229855656,3,6,9
2015-02-09,562569.0,544027.0,4372820.0,0.27088260687143106,-0.23997752960873775,1,8,9
2015-02-10,543736.0,548508.0,3403233.0,0.12491396941959843,0.049446845715289234,4,5,9
2015-02-11,549784.0,554233.0,6118690.0,0.2221954970915102,0.19708521907341725,7,2,9
2015-02-12,552175.0,550803.0,9937164.0,0.33903256746162413,0.24080353770393192,6,3,9
2015-02-13,551665.0,561416.0,6765429.0,0.19191880393455518,0.0831514563927005,7,2,9
2015-02-16,563548.0,562276.0,5352224.0,0.03237163870975024,-0.009697837128433195,4,3,9
2015-02-17,562825.0,574351.0,4370911.0,0.19908379447525104,0.1665105045729709,8,1,9
2015-02-23,578568.0,571053.0,5240913.0,0.20253462452372384,0.05758117765228521,4,5,9
2015-02-24,571913.0,568396.0,6687250.0,0.15117794704150966,0.0387215559794295,5,4,9
2015-02-25,569569.0,573478.0,7632831.0,0.14454615390520698,-0.0013016182950594812,5,3,9
2015-02-26,571356.0,573850.0,4249964.0,0.08479507916874363,0.03748598779062384,5,4,9
2015-02-27,575696.0,569685.0,7554692.0,0.13323703643472695,-0.015173632546210292,2,6,9
2015-03-02,571731.0,568670.0,4089834.0,0.09161261371754825,-0.049151554527517294,2,6,9
2015-03-03,572170.0,582002.0,8717290.0,0.2423646427756989,0.17056517334373145,7,2,9
2015-03-04,584748.0,578867.0,6463540.0,0.04972059133394857,-0.02577975585752268,4,2,9
2015-03-05,576588.0,580342.0,5723305.0,0.11728998714242134,-0.05590091516188589,3,4,9
2015-03-06,583006.0,594919.0,6396052.0,0.1803359700938304,0.15623958455166165,7,1,9
2015-03-09,593859.0,581963.0,3621104.0,0.13341924095851065,-0.13341924095851065,0,8,9
2015-03-10,586789.0,586452.0,6522729.0,0.17497242772556343,0.04058314543267272,5,4,9
2015-03-11,581228.0,595370.0,5716833.0,0.12190885449835587,0.04027847664145645,6,3,9
2015-03-12,597464.0,589042.0,6158842.0,0.149485652514879,-0.04103372007008199,3,5,9
2015-03-13,592490.0,586813.0,3747143.0,0.08568428511822779,-0.027965771010378226,2,6,9
2015-03-16,587938.0,594195.0,4016517.0,0.1035912136935252,0.02467303974136803,5,4,9
2015-03-17,599488.0,612721.0,4877492.0,0.2373310260300764,0.19978106476991553,7,2,9
2015-03-18,613890.0,612351.0,4332352.0,0.10526038022996942,-0.0968126505573188,1,4,9
2015-03-19,620002.0,615694.0,5517772.0,0.08736888393062925,-0.018067260270921093,5,3,9
2015-03-20,614905.0,604850.0,4111650.0,0.1703899821603979,-0.07438834864976174,3,6,9
2015-03-23,605011.0,597372.0,3214541.0,0.11879338004875606,-0.01657380560609656,4,5,9
2015-03-24,593435.0,592422.0,5302731.0,0.15628595916391863,0.021197667127794584,3,5,9
2015-03-25,589609.0,579550.0,4713413.0,0.15520158967233721,-0.14232210485173014,1,8,9
2015-03-26,574244.0,583589.0,3645655.0,0.07474553859941135,0.027568788598012706,5,4,9
2015-03-27,582356.0,578759.0,3381616.0,0.10715520016748803,-0.06899383438181284,2,5,9
2015-03-30,578563.0,572355.0,2389563.0,0.1101106498151786,-0.057335680226580865,2,7,9
2015-03-31,577886.0,577622.0,3986290.0,0.08634513961817625,0.084135194866795,7,1,9
2015-04-01,574892.0,566698.0,11747828.0,0.34911820272692773,0.08230266924954388,2,7,9
2015-04-02,569205.0,565242.0,6957835.0,0.09290248320393946,0.03045844981407264,4,3,9
2015-04-03,568867.0,566340.0,4629747.0,0.054385826019134886,0.017626489784675292,3,5,9
2015-04-06,568171.0,558025.0,4048081.0,0.12950166663788698,-0.1250915233082286,1,8,9
2015-04-07,559328.0,559575.0,3971986.0,0.030508297132319173,0.01587950999056642,4,3,9
2015-04-08,560596.0,562489.0,4387834.0,0.097037966634415,0.05071160946314501,5,4,9
2015-04-09,561381.0,558314.0,4280500.0,0.09487284505614224,-0.03781991409016805,3,5,9
2015-04-10,560349.0,577629.0,6893135.0,0.2591753502142702,0.2591753502142702,9,0,9
2015-04-13,582180.0,578751.0,6808344.0,0.08610958732887153,-0.04146673018601432,1,6,9
2015-04-14,579809.0,584918.0,7453771.0,0.17387998871285537,0.06395358807741902,6,3,9
2015-04-15,589064.0,581086.0,4012047.0,0.07969422056125475,-0.006699865832831664,4,4,9
