,Name,Code
0,태경비케이,014580
1,태경산업,015890
2,풍산,103140
3,동국알앤에스,075970
4,파버나인,177830
5,쎄니트,037760
6,일야,058450
7,풍산홀딩스,005810
8,조선내화,000480
9,제일연마,001560
10,국일신동,060480
11,현대비앤지스틸우,004565
12,삼아알미늄,006110
13,한국내화,010040
14,포스코스틸리온,058430
15,DSR,155660
16,고려아연,010130
17,조일알미늄,018470
18,현대비앤지스틸,004560
19,황금에스티,032560
20,EG,037370
21,피제이메탈,128660
22,대양금속,009190
23,디씨엠,024090
24,티플랙스,081150
25,일진다이아,081000
26,아이티센,124500
27,세아메카닉스,396300
28,남선알미늄,008350
29,대창,012800
30,알루코,001780
31,케이피티유,054410
32,한창산업,079170
33,대호에이엘,069460
34,이구산업,025820
35,삼보산업,009620
36,서원,021050
37,남선알미우,008355
38,코센,009730
