Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2015-01-02,139498.0,149415.0,2923106.0,0.3345892620118972,0.3143232708782683,9,1,10
2015-01-05,151433.0,150647.0,3258518.0,0.13952236684147457,0.10593126052613966,7,2,10
2015-01-06,152625.0,144871.0,4202399.0,0.3892919964727609,0.04898545247543218,4,6,10
2015-01-07,143471.0,145918.0,3368924.0,0.3702450604613555,0.26729389101332324,7,3,10
2015-01-08,148932.0,147548.0,2482821.0,0.30610817852508265,0.29127081425460644,8,1,10
2015-01-09,151431.0,141101.0,8053344.0,0.24527499347832615,0.004961164279613572,7,2,10
2015-01-12,140641.0,141393.0,4368398.0,0.08332893418516552,0.03093457931403032,6,2,10
2015-01-13,140807.0,137331.0,3893528.0,0.2903189304103915,-0.24316369663085435,2,8,10
2015-01-14,137743.0,138877.0,3692672.0,0.17412878816924138,0.11154618221939316,8,2,10
2015-01-15,140399.0,138896.0,4876498.0,0.2992409361206192,0.17619523583045438,5,4,10
2015-01-16,139066.0,135027.0,5421145.0,0.30849980806547095,-0.017804673153056894,3,7,10
2015-01-19,135478.0,133694.0,3510122.0,0.288483455070354,0.21686184670962583,7,2,10
2015-01-20,133485.0,134390.0,4012270.0,0.34402527604547195,0.22975441937711072,8,2,10
2015-01-21,134729.0,134840.0,3324939.0,0.29647226157484075,0.17737960362902983,7,3,10
2015-01-22,136221.0,133739.0,3881880.0,0.2315209458088836,-0.10766210570146195,5,4,10
2015-01-23,135121.0,127458.0,9269215.0,0.40746858389398943,0.12039525191944811,6,3,10
2015-01-26,126926.0,125774.0,5490592.0,0.2781296052022014,-0.1168090095712534,4,6,10
2015-01-27,126477.0,126856.0,5791986.0,0.2386733120756952,0.05635078454725373,5,4,10
2015-01-28,126106.0,127604.0,4623311.0,0.18198973523226147,0.14410489499044443,4,3,10
2015-01-29,128901.0,128555.0,3711747.0,0.264466310585323,0.05746803170692816,4,6,10
2015-01-30,128834.0,131199.0,2760427.0,0.1693244317964302,0.10293942166268844,4,4,10
2015-02-02,128598.0,128177.0,3061549.0,0.2817991374692592,-0.03622621693014927,4,6,10
2015-02-03,129329.0,125355.0,3855691.0,0.217829525057734,-0.12157171489389751,2,7,10
2015-02-04,126038.0,129839.0,4331571.0,0.24845453847582266,0.16214648505326823,6,4,10
2015-02-05,130499.0,130624.0,2659490.0,0.20365494818829022,-0.03835913614637654,4,6,10
2015-02-06,130509.0,129994.0,2696857.0,0.23275114725711288,-0.009484924029486086,4,6,10
2015-02-09,131480.0,125473.0,4170617.0,0.35001912902999344,-0.31693598234474596,3,7,10
2015-02-10,126344.0,129460.0,2866183.0,0.45245137544608316,0.3763605992979072,6,4,10
2015-02-11,129601.0,129560.0,2062829.0,0.23055280440201165,0.15871093155134408,6,4,10
2015-02-12,129906.0,129799.0,4394599.0,0.22829558838749586,0.1512929988118893,5,4,10
2015-02-13,130667.0,130642.0,2764629.0,0.1587321041260299,0.013362188471963465,3,5,10
2015-02-16,100077.0,129322.0,3966024.0,0.22513077224858136,0.020432303789829964,3,6,10
2015-02-17,128734.0,129467.0,2972545.0,0.2330014974142467,-0.10044444279486497,5,5,10
2015-02-23,130294.0,131312.0,3361753.0,0.2264935330401825,0.16869540632149582,5,2,10
2015-02-24,133086.0,130145.0,4302103.0,0.2678379884862695,0.11086121334430776,5,5,10
2015-02-25,131502.0,129929.0,3215853.0,0.16584936728832822,-0.08260021149653196,3,7,10
2015-02-26,129838.0,132383.0,4237523.0,0.2164522579816397,0.027294562204215334,7,3,10
2015-02-27,134561.0,143097.0,3335046.0,0.43681692096258373,0.35974319333033267,8,2,10
2015-03-02,144187.0,146098.0,2113811.0,0.16255349131816477,0.005656333007948877,4,5,10
2015-03-03,146297.0,143702.0,2111003.0,0.12251151456823473,0.010404540428968767,5,3,10
2015-03-04,144554.0,141745.0,4330696.0,0.24704416113431704,0.0832229973168428,3,6,10
2015-03-05,141642.0,141896.0,6000773.0,0.21323995644447724,-0.1748439817960673,2,7,10
2015-03-06,142293.0,146050.0,3081730.0,0.18808925994978742,0.06846974092874336,5,4,10
