Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2015-01-02,188131.0,190596.0,15689693.0,0.44980525419015016,0.331772897680212,14,5,21
2015-01-05,186399.0,189869.0,8666655.0,0.32861335457981844,0.10560565957404289,10,8,21
2015-01-06,185285.0,187154.0,8755596.0,0.37619777923346176,-0.23054684418989002,6,12,21
2015-01-07,184435.0,186866.0,5914897.0,0.26082611828304536,0.12420099850958799,12,6,21
2015-01-08,183693.0,190367.0,7385881.0,0.42719256577913833,0.3489206465186824,17,2,21
2015-01-09,188359.0,189917.0,7514175.0,0.15267907144886572,0.008010686869976302,7,9,21
2015-01-12,186565.0,189467.0,16296046.0,0.4611787178636354,-0.21979789972904873,8,11,21
2015-01-13,187210.0,188324.0,6389674.0,0.17947362796321842,-0.12445868248863723,5,13,21
2015-01-14,185088.0,188180.0,10599502.0,0.322823807543123,0.16096901292216537,9,9,21
2015-01-15,184922.0,187979.0,28457207.0,0.24097767463477981,0.09695978721197096,10,8,21
2015-01-16,185534.0,185573.0,15181366.0,0.2552225970290515,-0.16449886003314618,6,12,21
2015-01-19,183199.0,185884.0,25491479.0,0.3589501071263229,0.16436759441917792,10,7,21
2015-01-20,183119.0,187462.0,22739910.0,0.40694702031426433,0.2987904183504616,9,8,21
2015-01-21,184113.0,186670.0,44865115.0,0.5612642037486965,0.15297772633863016,8,10,21
2015-01-22,184497.0,186639.0,34770057.0,0.3695957995331848,-0.1986478550966101,9,10,21
2015-01-23,184647.0,188150.0,30326305.0,0.41760163275818574,0.11560885452841818,13,5,21
2015-01-26,185418.0,189159.0,17244749.0,0.3667241431120879,-0.07506961183478544,7,10,21
2015-01-27,186814.0,189035.0,18684903.0,0.4865872433233839,0.006405094895787555,9,10,21
2015-01-28,185243.0,189621.0,21247380.0,0.3870408313397814,0.25242436169934146,13,6,21
2015-01-29,186446.0,187168.0,25333197.0,0.2910023899934787,-0.11864712920049325,5,11,21
2015-01-30,185339.0,189593.0,18347172.0,0.48313027181110213,0.138916709533762,11,8,21
2015-02-02,185880.0,189213.0,15425973.0,0.34601633924155306,-0.2247112153618701,5,13,21
2015-02-03,186733.0,189797.0,10715272.0,0.5009175101992326,0.23299154451097548,10,7,21
2015-02-04,188145.0,190652.0,12622227.0,0.36927212581443214,-0.08094244939021678,11,7,21
2015-02-05,187712.0,191274.0,15087917.0,0.3438409096761774,0.1977696461004832,10,6,21
2015-02-06,188391.0,190790.0,13976606.0,0.38276548299362023,0.05085404646215297,10,9,21
2015-02-09,187943.0,190017.0,16026948.0,0.380119239579119,-0.05583764547514447,5,14,21
2015-02-10,188447.0,188819.0,11086360.0,0.45830473290742035,-0.173928315547754,5,14,21
2015-02-11,185498.0,188348.0,11487092.0,0.23618098011438482,-0.09921459837368918,9,10,21
2015-02-12,184710.0,187688.0,7980641.0,0.33644455176683463,0.08300410516786139,9,11,21
2015-02-13,185472.0,188818.0,7780031.0,0.45524743586919747,0.14508954245151584,10,9,21
2015-02-16,185651.0,188463.0,7613450.0,0.5370226291025818,0.2540611469413908,10,9,21
2015-02-17,185036.0,190374.0,14898121.0,0.522172239222276,0.0211764713209478,11,8,21
2015-02-23,188517.0,190691.0,6730972.0,0.3365275909722145,-0.21643244859542143,9,9,21
2015-02-24,187582.0,190909.0,6171331.0,0.15928752868253948,0.05948277967185023,12,6,21
2015-02-25,188660.0,191699.0,6081255.0,0.41079183451979917,0.048501834578756675,8,10,21
2015-02-26,189626.0,192066.0,10595960.0,0.46036873562433034,0.26513215189563455,11,7,21
2015-02-27,189653.0,194358.0,11492696.0,0.4349607091136557,0.23473267645429174,14,6,21
2015-03-02,191523.0,194174.0,10879890.0,0.4891750671142687,0.10557010510121767,12,6,21
2015-03-03,191623.0,194751.0,8938434.0,0.3476588293706382,0.08640890915884314,11,8,21
2015-03-04,192390.0,195531.0,16339071.0,0.24498951953932835,0.10765265468707108,13,5,21
2015-03-05,193599.0,199833.0,8603216.0,0.4800532496077363,0.344936386049816,9,9,21
2015-03-06,196127.0,199876.0,7602069.0,0.4651793983259124,0.13335436484797014,12,6,21
2015-03-09,195959.0,197889.0,13153291.0,0.619664004669031,0.02948816731717685,5,14,21
2015-03-10,195573.0,198670.0,11420529.0,0.2719258768121935,-0.10419736931420953,7,12,21
2015-03-11,194226.0,197430.0,8351138.0,0.46522690108600906,0.0013613202825057957,8,12,21
2015-03-12,193021.0,196971.0,5815591.0,0.47797898207985057,0.2840549946288249,11,7,21
2015-03-13,194877.0,196572.0,4778395.0,0.4028173663162016,-0.24556384909003937,9,7,21
2015-03-16,193432.0,195306.0,7838938.0,0.36128921570785977,-0.10774488871344268,5,12,21
2015-03-17,192854.0,197272.0,6755377.0,0.310235975301858,0.1804969146409614,12,7,21
2015-03-18,194270.0,196474.0,6916721.0,0.2615039632084677,0.021154267313360675,7,9,21
2015-03-19,194425.0,196293.0,5662168.0,0.3244923152951362,0.11652612333545131,9,8,21
2015-03-20,193796.0,196371.0,5346962.0,0.37864317953839643,0.15064582224990541,10,9,21
2015-03-23,195424.0,199862.0,9443370.0,0.39921527871338724,0.23372157645961933,12,7,21
2015-03-24,197174.0,203297.0,6357614.0,0.44391412960457466,0.025844180404606898,13,4,21
2015-03-25,200500.0,203314.0,7426002.0,0.34486202061032123,-0.03579973646046786,7,13,21
2015-03-26,200306.0,202854.0,6722952.0,0.4127170707934731,-0.03937185925837072,8,11,21
2015-03-27,200275.0,201042.0,8184545.0,0.2735772139727455,-0.22248526794409051,2,16,21
2015-03-30,197573.0,200914.0,4859411.0,0.2548213188519318,-0.002016875124670414,12,8,21
2015-03-31,198570.0,202030.0,5095431.0,0.251877245180841,0.047683859150535635,13,6,21
2015-04-01,198541.0,200701.0,4214019.0,0.239726763468193,-0.16058963029111362,5,15,21
2015-04-02,197639.0,200619.0,9612190.0,0.3845768824885336,0.10028200880795812,11,7,21
2015-04-03,199027.0,201277.0,9254907.0,0.2999367069813932,0.19745453706454352,13,5,21
2015-04-06,198145.0,201313.0,6344146.0,0.26280943541894386,0.022062236376982902,12,6,21
2015-04-07,200548.0,202442.0,5382698.0,0.2759512057886627,0.1640028816922524,13,6,21
2015-04-08,199392.0,202674.0,5838960.0,0.23598447247197285,-0.04970248557376333,9,10,21
2015-04-09,199745.0,204056.0,6344050.0,0.22574276244821267,0.10218337558616608,13,7,21
2015-04-10,200770.0,204442.0,10684348.0,0.21873137696290468,0.17805658838137917,16,4,21
2015-04-13,201083.0,204001.0,20543505.0,0.5629337613321033,0.31551061249193957,12,7,21
2015-04-14,200918.0,204966.0,16456862.0,0.401786154663786,-0.09092286763027979,7,12,21
2015-04-15,201435.0,203848.0,14556051.0,0.4061200542656379,-0.02766090231802487,10,9,21
2015-04-16,201700.0,205898.0,21915046.0,0.3846542580870732,0.3055112525819085,14,5,21
2015-04-17,203068.0,204919.0,18213346.0,0.3454700714527603,-0.16660698964418819,9,7,21
2015-04-20,200071.0,203500.0,11288426.0,0.3342221762802382,-0.06808971918043816,7,13,21
2015-04-21,200409.0,203283.0,12924967.0,0.24066381889268174,0.02333794824529356,8,9,21
2015-04-22,200533.0,200992.0,20227984.0,0.5176041220038314,-0.29024552415089433,4,16,21
2015-04-23,198226.0,200475.0,10504616.0,0.29666270210754264,-0.24945098497069063,6,12,21
2015-04-24,197654.0,200701.0,11790671.0,0.3475796290450168,0.18485124857681767,12,7,21
2015-04-27,198123.0,201507.0,6434612.0,0.3869624947101715,0.08972375332676519,15,2,21
2015-04-28,199134.0,202473.0,11594268.0,0.35990075261029586,0.07324691867050703,10,7,21
2015-04-29,200414.0,201429.0,5745626.0,0.21603684121751232,-0.051500320511871034,7,12,21
2015-04-30,198424.0,199790.0,8484494.0,0.3866736867903201,-0.16257484819635637,6,13,21
2015-05-04,196054.0,195708.0,15797450.0,0.6005478170642323,-0.1542458940572503,6,13,21
