,Name,Code
0,디에이테크놀로지,196490
1,크로바하이텍,043590
2,에이에프더블류,312610
3,원익피앤이,131390
4,에이치와이티씨,148930
5,삼화전기,009470
6,아비코전자,036010
7,피엔티,137400
8,엘앤에프,066970
9,두산퓨얼셀1우,33626K
10,이지트로닉스,377330
11,동양이엔피,079960
12,성문전자우,014915
13,엔에스,217820
14,씨아이에스,222080
15,삼성SDI,006400
16,두산퓨얼셀,336260
17,삼성SDI우,006405
18,두산퓨얼셀2우B,33626L
19,에스피지,058610
20,서울전자통신,027040
21,와이엠텍,273640
22,신화콘텍,187270
23,천보,278280
24,신흥에스이씨,243840
25,엔켐,348370
26,삼영전자,005680
27,뉴인텍,012340
28,UCI,038340
29,명성티엔에스,257370
30,LG에너지솔루션,373220
31,피에스텍,002230
32,에스씨디,042110
33,지아이텍,382480
34,에코프로비엠,247540
35,비츠로셀,082920
36,SK아이이테크놀로지,361610
37,성호전자,043260
38,성일하이텍,365340
39,이노메트리,302430
40,엠플러스,259630
41,삼화콘덴서,001820
42,에스퓨얼셀,288620
43,대보마그네틱,290670
44,원준,382840
45,KH 필룩스,033180
46,파워넷,037030
47,성문전자,014910
48,새빗켐,107600
