,Name,Code
0,한국단자,025540
1,센트랄모텍,308170
2,덕양산업,024900
3,아진산업,013310
4,화승코퍼레이션,013520
5,SNT중공업,003570
6,HDC현대EP,089470
7,디아이씨,092200
8,모베이스,101330
9,CBI,013720
10,명신산업,009900
11,우리산업홀딩스,072470
12,GH신소재,130500
13,모베이스전자,012860
14,한국프랜지,010100
15,엠에스오토텍,123040
16,대유에이피,290120
17,네오오토,212560
18,에코플라스틱,038110
19,인지컨트롤스,023800
20,폴라리스세원,234100
21,피에이치에이,043370
22,세동,053060
23,에코캡,128540
24,모토닉,009680
25,디젠스,113810
26,성창오토텍,080470
27,태원물산,001420
28,서진오토모티브,122690
29,서연이화,200880
30,아이윈,090150
31,금호에이치티,214330
32,동아타이어,282690
33,엔브이에이치코리아,067570
34,대성파인텍,104040
35,한라홀딩스,060980
36,구영테크,053270
37,대성엘텍,025440
38,풍강,093380
39,동원금속,018500
40,DRB동일,004840
41,디와이씨,310870
42,새론오토모티브,075180
43,한일단조,024740
44,로스웰,900260
45,서연,007860
46,삼원강재,023000
47,유성기업,002920
48,DN오토모티브,007340
49,핸즈코퍼레이션,143210
50,SNT모티브,064960
51,티피씨글로벌,130740
52,티에이치엔,019180
53,대유플러스,000300
54,모트렉스,118990
55,THE MIDONG,161570
56,경창산업,024910
57,영화테크,265560
58,다이나믹디자인,145210
59,화승알앤에이,378850
60,오리엔트정공,065500
61,캐스텍코리아,071850
62,트루윈,105550
63,현대공업,170030
64,일진하이솔루스,271940
65,대유에이텍,002880
66,태양금속우,004105
67,에스엠벡셀,010580
68,계양전기우,012205
69,일지테크,019540
70,대동금속,020400
71,세원정공,021820
72,세원물산,024830
73,SJM홀딩스,025530
74,아이에이,038880
75,코다코,046070
76,우수AMS,066590
77,디아크,078590
78,평화산업,090080
79,코리아에프티,123410
80,코프라,126600
81,팬스타엔터프라이즈,054300
82,대원강업,000430
83,영신금속,007530
84,이원컴포텍,088290
85,동일고무벨트,163560
86,넥센타이어,002350
87,SNT홀딩스,036530
88,한국앤컴퍼니,000240
89,영화금속,012280
90,유라테크,048430
91,유니크,011320
92,케이비아이동국실업,001620
93,한온시스템,018880
94,화신,010690
95,두올,016740
96,넥센타이어1우B,002355
97,한국타이어앤테크놀로지,161390
98,SJM,123700
99,인팩,023810
100,상신브레이크,041650
101,우리산업,215360
102,금호타이어,073240
103,평화홀딩스,010770
104,현대위아,011210
105,지엠비코리아,013870
106,KB오토시스,024120
107,삼성공조,006660
108,SG글로벌,001380
109,넥센,005720
110,우신시스템,017370
111,동양피스톤,092780
112,에스엘,005850
113,오스템,031510
114,삼기,122350
115,유니테크노,241690
116,삼보모터스,053700
117,세종공업,033530
118,글로벌에스엠,900070
119,성우하이텍,015750
120,대원산업,005710
121,만도,204320
122,네오티스,085910
123,한국큐빅,021650
124,대우부품,009320
125,세방전지,004490
126,태양금속,004100
127,유니온머티리얼,047400
128,계양전기,012200
129,넥센우,005725
130,동아화성,041930
131,골든센츄리,900280
132,오토앤,353590
133,서연탑메탈,019770
134,솔루에타,154040
135,화신정공,126640
136,부산주공,005030
137,체시스,033250
138,크린앤사이언스,045520
139,현대모비스,012330
140,일정실업,008500
