,Name,Code
0,광무,029480
1,인텔리안테크,189300
2,유비쿼스홀딩스,078070
3,현대에이치티,039010
4,다보링크,340360
5,피피아이,062970
6,컨버즈,109070
7,아이크래프트,052460
8,에스넷,038680
9,하이트론,019490
10,알엔투테크놀로지,148250
11,뉴지랩파마,214870
12,라닉스,317120
13,텔레필드,091440
14,머큐리,100590
15,옵티시스,109080
16,삼지전자,037460
17,코위버,056360
18,웨이브일렉트로,095270
19,기산텔레콤,035460
20,우리넷,115440
21,이노와이어리스,073490
22,라이트론,069540
23,아이즈비전,031310
24,휴림네트웍스,192410
25,케이엠더블유,032500
26,서진시스템,178320
27,유비벨록스,089850
28,RF머트리얼즈,327260
29,CS,065770
30,이노인스트루먼트,215790
31,쏠리드,050890
32,인성정보,033230
33,코콤,015710
34,오이솔루션,138080
35,에프알텍,073540
36,유비쿼스,264450
37,RFHIC,218410
38,다산네트웍스,039560
39,에치에프알,230240
40,파이오링크,170790
41,에이스테크,088800
42,코맥스,036690
43,텔콘RF제약,200230
