Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2015-01-02,950763.0,985051.0,4167151.0,0.3861211803173904,0.24204043481039828,9,5,15
2015-01-05,980002.0,963798.0,7690204.0,0.2853401713879775,-0.13063715793355501,8,5,15
2015-01-06,955414.0,944846.0,5870659.0,0.25567363297721346,-0.22912496041084196,1,13,15
2015-01-07,947667.0,940148.0,2557686.0,0.18276957713848296,-0.04206588159928981,6,8,15
2015-01-08,943350.0,955276.0,2916440.0,0.2195412141805534,0.1203913137333833,8,5,15
2015-01-09,964943.0,978804.0,4250203.0,0.35092532205811,0.3336093047420926,14,1,15
2015-01-12,973212.0,983502.0,2856062.0,0.20274657891059478,0.05789383675079984,8,6,15
2015-01-13,981873.0,951111.0,4151306.0,0.2687481867460577,-0.20026618348334768,4,10,15
2015-01-14,954372.0,951858.0,2280330.0,0.20539157066400549,0.012904950749866195,7,6,15
2015-01-15,950857.0,966667.0,2199381.0,0.16930079727313518,0.05516132877192004,7,7,15
2015-01-16,962404.0,961007.0,2295674.0,0.26117500456077414,-0.041556594681260606,6,9,15
2015-01-19,966440.0,951097.0,2164921.0,0.3161217114245176,-0.027500783840231913,7,6,15
2015-01-20,957286.0,965767.0,2775485.0,0.25619272201383847,0.029876227361032015,9,6,15
2015-01-21,965369.0,953897.0,4584363.0,0.25030200001712766,-0.15238030905478928,5,7,15
2015-01-22,952139.0,953133.0,2984552.0,0.1873451038249686,-0.019952491181020604,5,7,15
2015-01-23,962370.0,959383.0,2754872.0,0.1568713085030654,0.04993097354342624,8,6,15
2015-01-26,961652.0,968050.0,2532220.0,0.3576394484230806,0.10463894472897961,7,6,15
2015-01-27,970267.0,982033.0,2816188.0,0.22314191082850376,0.17974336761181853,11,3,15
2015-01-28,981169.0,986762.0,3197410.0,0.16267790863908793,0.08896826338560837,6,7,15
2015-01-29,988923.0,976026.0,2837624.0,0.2461023825432811,-0.025480925622519024,6,7,15
2015-01-30,986867.0,976119.0,5426664.0,0.2840514182911996,0.05819161351686619,5,9,15
2015-02-02,972883.0,977382.0,2936494.0,0.30049564280405605,0.12311715676670232,7,6,15
2015-02-03,982108.0,985578.0,2776550.0,0.32880341832053583,0.17191762699088542,6,7,15
2015-02-04,990637.0,994054.0,2934451.0,0.3318800910086327,0.1326972516541648,10,5,15
2015-02-05,994330.0,992841.0,2616655.0,0.19705223615109846,-0.027390605759371578,4,8,15
2015-02-06,995234.0,1006985.0,2685761.0,0.29272572838582733,0.15640926262370658,9,3,15
2015-02-09,1003220.0,1021652.0,1702229.0,0.2431948979741071,0.14729731527864798,10,4,15
2015-02-10,1021083.0,1016856.0,1714908.0,0.18119187380642476,-0.04667845924581304,3,11,15
2015-02-11,1017396.0,1011119.0,1654081.0,0.23326693170477397,-0.03706868393554452,9,5,15
2015-02-12,1012284.0,1009190.0,2648593.0,0.18494467800679926,-0.10616378686364081,5,8,15
2015-02-13,1010078.0,1016193.0,2787175.0,0.23070956748063276,0.09259444446449994,7,7,15
2015-02-16,1016360.0,1014512.0,2677048.0,0.26167718529216455,0.009682612143876113,7,7,15
2015-02-17,1016064.0,1021267.0,1913762.0,0.40501190243310514,0.2886325210612344,12,3,15
2015-02-23,1023475.0,1018813.0,1775664.0,0.16808996881283467,-0.030481801895065552,5,9,15
2015-02-24,1016492.0,1029243.0,4072590.0,0.3434627460553432,0.24516551173205614,11,3,15
2015-02-25,1033401.0,1023777.0,3025890.0,0.16989689190379498,0.052950550787805084,8,4,15
2015-02-26,1021940.0,1013181.0,2579375.0,0.2502427677866319,-0.1034063641235281,5,9,15
2015-02-27,1008814.0,1022201.0,2626747.0,0.23383252996136694,0.04518133712114014,8,6,15
2015-03-02,1022047.0,1001482.0,2873788.0,0.353637060438729,-0.06445853713589311,6,8,15
2015-03-03,1000988.0,997144.0,2480627.0,0.18431795973220355,-0.029848689681224894,7,8,15
2015-03-04,994438.0,991518.0,1901414.0,0.18219372693207958,0.0287759764026424,6,7,15
2015-03-05,988107.0,1000192.0,1472377.0,0.13031032284699995,0.09099592336273332,11,3,15
