,Name,Code
0,NHN한국사이버결제,060250
1,오파스넷,173130
2,수산아이앤티,050960
3,이루온,065440
4,쿠콘,294570
5,쌍용정보통신,010280
6,한솔인티큐브,070590
7,소프트센우,032685
8,큐로컴,040350
9,딥노이드,315640
10,미래아이앤지,007120
11,엔텔스,069410
12,헥토이노베이션,214180
13,플래티어,367000
14,브리지텍,064480
15,대신정보통신,020180
16,콤텍시스템,031820
17,싸이버원,356890
18,티라유텍,322180
19,롯데정보통신,286940
20,NHN,181710
21,한국전자인증,041460
22,KG이니시스,035600
23,한국정보인증,053300
24,와이더플래닛,321820
25,대아티아이,045390
26,링네트,042500
27,현대오토에버,307950
28,가비아,079940
29,토마토시스템,393210
30,이씨에스,067010
31,로지시스,067730
32,KG모빌리언스,046440
33,엠브레인,169330
34,정원엔시스,045510
35,이노뎁,303530
36,삼성에스디에스,018260
37,인포뱅크,039290
38,리노스,039980
39,케이씨에스,115500
40,비츠로시스,054220
41,헥토파이낸셜,234340
42,인포바인,115310
43,모코엠시스,333050
44,소프트센,032680
45,한네트,052600
46,솔트웨어,328380
47,카카오페이,377300
48,오픈베이스,049480
49,아시아나IDT,267850
50,DB,012030
51,한국전자금융,063570
52,나무기술,242040
53,아이티아이즈,372800
54,신세계 I&C,035510
55,SBI핀테크솔루션즈,950110
56,에프앤가이드,064850
57,드림시큐리티,203650
58,유엔젤,072130
59,포스코 ICT,022100
60,원티드랩,376980
61,이삭엔지니어링,351330
62,시티랩스,139050
63,카페24,042000
64,케이엘넷,039420
65,씨이랩,189330
66,코닉오토메이션,391710
67,웨이버스,336060
68,마인즈랩,377480
69,코나아이,052400
70,라피치,403360
71,핑거,163730
72,다날,064260
73,데이타솔루션,263800
74,솔트룩스,304100
75,갤럭시아머니트리,094480
76,케이아이엔엑스,093320
77,에스트래픽,234300
