Date,Open_Total,Close_Total,Volume_Total,Changes_abs_Total,Changes_Total,adv,red,stock_num
2017-09-18,1305467.0,1275377.0,16917599.0,,,12,20,33
2017-09-19,1276625.0,1290622.0,21331729.0,1.041366694014264,0.6750213632339627,19,12,33
2017-09-20,1293304.0,1268463.0,35002684.0,0.9715272725210425,-0.07195284177349481,11,22,33
2017-09-21,1268783.0,1261808.0,28780793.0,0.8585133319462142,-0.5544476428745677,9,24,33
2017-09-22,1267857.0,1242423.0,15567636.0,0.8501190893934931,-0.5749863095578858,5,26,33
2017-09-25,1239181.0,1227619.0,19932023.0,1.3307598021631812,-0.3901113693388337,7,25,33
2017-09-26,1222342.0,1244603.0,12312060.0,0.9410244886016541,0.039762860550168755,17,14,33
2017-09-27,1245753.0,1245691.0,10462805.0,0.5543936351711091,0.07338459751160287,16,16,33
2017-09-28,1250037.0,1216136.0,7167168.0,0.7345192807780277,-0.029179198491848468,13,16,33
2017-09-29,1216427.0,1189182.0,10135292.0,0.6721017031041422,0.1508045545063229,23,9,33
2017-10-10,1205830.0,1192334.0,6513406.0,0.5735641094778947,-0.2213845938943908,12,21,33
2017-10-11,1200370.0,1201121.0,11223121.0,0.534464383127254,0.2752217274116491,24,8,33
2017-10-12,1200587.0,1157717.0,14335297.0,0.9438899882561059,0.32515530328290854,11,18,33
2017-10-13,1157063.0,1115220.0,14239815.0,0.9643299213688524,-0.4338975572252671,9,23,33
2017-10-16,1120073.0,1105789.0,7908116.0,0.5080242289224401,-0.20055036351993416,12,19,33
2017-10-17,1105841.0,1120590.0,11294020.0,0.6300933034036177,0.3005315976332056,22,10,33
2017-10-18,1115206.0,1129358.0,13120629.0,0.6274878208777839,0.16335363937217595,18,13,33
2017-10-19,1138604.0,1145722.0,19574358.0,0.8378880212449418,0.16507819557942272,16,15,33
2017-10-20,1148533.0,1152216.0,12315786.0,0.4848452359825983,0.22317480273300383,18,11,33
