,Name,Code
0,한국맥널티,222980
1,케이씨피드,025880
2,카나리아바이오,016790
3,체리부로,066360
4,롯데지주우,00499K
5,오뚜기,007310
6,대상우,001685
7,CJ제일제당 우,097955
8,농심,004370
9,웰바이오텍,010600
10,신라교역,004970
11,남양유업우,003925
12,삼양식품,003230
13,선진,136490
14,이지바이오,353810
15,빙그레,005180
16,농심홀딩스,072710
17,롯데지주,004990
18,CJ씨푸드1우,011155
19,샘표식품,248170
20,남양유업,003920
21,대상,001680
22,크라운해태홀딩스우,005745
23,마니커에프앤지,195500
24,오리온홀딩스,001800
25,롯데제과,280360
26,삼양사우,145995
27,엠에스씨,009780
28,삼양홀딩스우,000075
29,사조오양,006090
30,크라운해태홀딩스,005740
31,서울식품,004410
32,정다운,208140
33,동서,026960
34,대상홀딩스,084690
35,푸드나무,290720
36,SPC삼립,005610
37,대한제당우,001795
38,마니커,027740
39,CJ제일제당,097950
40,푸드웰,005670
41,삼양홀딩스,000070
42,보락,002760
43,하림,136480
44,신라에스지,025870
45,사조씨푸드,014710
46,동원수산,030720
47,동우팜투테이블,088910
48,인산가,277410
49,우리손에프앤지,073560
50,사조산업,007160
51,오리온,271560
52,조흥,002600
53,큐로홀딩스,051780
54,동원산업,006040
55,대상홀딩스우,084695
56,크라운제과,264900
57,해태제과식품,101530
58,샘표,007540
59,우성,006980
60,매일홀딩스,005990
61,팜스토리,027710
62,서울식품우,004415
63,한일사료,005860
64,고려산업,002140
65,에이치피오,357230
66,대한제당,001790
67,삼양사,145990
68,사조동아원,008040
69,이지홀딩스,035810
70,대한제분,001130
71,하림지주,003380
72,크라운제과우,26490K
73,에스앤디,260970
74,CJ씨푸드,011150
75,우양,103840
76,사조대림,003960
77,풀무원,017810
78,동원F&B,049770
79,한탑,002680
80,팜스코,036580
81,미래생명자원,218150
82,윙입푸드,900340
83,한성기업,003680
84,교촌에프앤비,339770
85,HLB글로벌,003580
86,대주산업,003310
87,메지온,140410
88,매일유업,267980
89,오에스피,368970
