,KS11quarterMA,KS11fullMA,KS11Volatility,KS11Volume,KQ11quarterMA,KQ11fullMA,KQ11Volatility,KQ11Volume,DJIquarterMA,DJIfullMA,DJIVolatility,DJIVolume,IXICquarterMA,IXICfullMA,IXICVolatility,IXICVolume,JP225quarterMA,JP225fullMA,JP225Volatility,JP225Volume,HK50quarterMA,HK50fullMA,HK50Volatility,HK50Volume,CSI300quarterMA,CSI300fullMA,CSI300Volatility,CSI300Volume,DAXquarterMA,DAXfullMA,DAXVolatility,DAXVolume,TWIIquarterMA,TWIIfullMA,TWIIVolatility,TWIIVolume,LCOquarterMA,LCOfullMA,LCOVolatility,LCOVolume,ZGquarterMA,ZGfullMA,ZGVolatility,ZGVolume,HGquarterMA,HGfullMA,HGVolatility,HGVolume,US2YT-3MT,US10YT-3MT,CPIAUCSL,DollarMA,KoreaVIX,USVIX
2015-01-06,0.3272061912768358,0.2113705242875341,-0.2064986809217919,-0.22281915276930708,0.23721521564132586,-0.47721585154626944,-0.44742257843820443,0.4332495159326688,0.8792844483605995,0.7225349020084602,0.05294068180298006,0.2693870076956124,0.8427571829143599,0.6230391618381714,-0.07808669799976042,-0.022502178699920994,0.8819563645391606,0.9931789409983114,0.260209883529559,0.25617621291286086,0.7482601187786064,0.14007223028088922,-0.4404532400151603,0.7219825355735892,0.814188102134711,0.9958668246174043,0.9729894493845521,0.9831844624454198,-0.13661244536584283,0.6256994076833979,0.05257395300278844,-0.6743578198314688,0.5183410963239921,0.6187827338259473,-0.037647810022840233,0.5902361458251406,-0.516724938469397,-0.9985171058362848,0.6446378129317025,-0.9945803639091021,-0.20866194881550715,-0.7345591373928736,0.8580592030661143,-0.09826403893015556,-0.19778080923987917,-0.5945916992733773,0.20725608107500815,-0.34355495048782003,-0.055328168993847404,-0.9943337913949345,-0.6374615530989148,-1.0,-0.4855168407320386,0.9820434977460011
2015-01-07,0.365202968899764,0.12061537128431499,-0.18016808799265627,-0.4283169462448905,0.412955543595688,-0.46296693513807974,-0.4580354589528103,0.4656402320475086,0.6719675541844208,0.7212415587777175,0.041793056736691536,0.215556058285991,0.46204871601635245,0.6225868247039255,-0.06328183419270272,-0.08991896439710179,0.852532745310479,0.9912472850091951,0.2836468512106427,0.057012573264483724,0.8340053813655686,0.27588292965943206,-0.44059621231094004,0.7683036002869721,0.6601186252836764,0.9978462015241252,0.9727408981425536,0.9644951801186259,-0.05425500588178145,0.7003800969895397,0.13030446008829477,-0.796937583695793,0.8002464731217553,0.6560583649442082,0.06363432120205226,0.29934066607764365,-0.8805116054584785,-0.9987969411021208,0.6772470473932437,-0.9974265369337867,-0.1596572430363158,-0.7135475723084769,0.8273957147500564,0.24028975143546294,-0.38097928277478865,-0.7099944280073047,0.19851435266770778,-0.27441284984458114,-0.06251209599233487,-0.9936924279210101,-0.6422913528047143,-0.98470266974204,-0.1086277875475149,0.9940036550437759
2015-01-08,0.3879206984053054,0.18872059610201197,-0.18944628293993815,-0.3839229890215585,0.7429479999676092,-0.5092783484650113,-0.4621806034915177,0.5295395968141761,-0.002335782465341718,0.5670914411415171,0.0030067019992388033,0.15008349363756368,-0.2720748224528131,0.28952732495026035,-0.1669383830539123,-0.24504971122253139,0.4230498229523847,0.993584254024398,0.264938257114971,-0.0026451393786156574,0.73482143918071,-0.034490776472767215,-0.3698705696770661,0.8739279143100585,0.8269030264049451,0.9967355588068367,0.9696394353060283,0.9449991939340023,-0.5857390578950694,0.4437647828071736,0.2697720025513757,-0.816275214998795,0.7489445144563771,0.42849133895972313,-0.04314716599210666,0.5373274090096098,-0.7336627020978577,-0.9991933913035322,0.6320801248200048,-0.9985511341596719,-0.132511835075387,-0.7181971220538572,0.7965777676653516,0.140834434337346,-0.29727465192299296,-0.8036895142552618,0.18446082931296837,-0.3219968379543472,-0.06956818916389063,-0.993123095659268,-0.6471211525105136,-0.9677616055568805,-0.2310697059385739,0.9612043785299511
2015-01-09,-0.17526704487277678,-0.2651085715279867,-0.324952504683388,-0.09458326284811902,0.5470090219573156,-0.4830461798985274,-0.5895872129092528,0.6824729323418028,-0.03524526145345119,0.6155841982625407,-0.028747681980671458,0.04740348292027563,-0.3888292199199197,0.38177195346536275,-0.16523216767599513,-0.3247247502542723,-0.36661283586760907,0.9872454879175612,0.3077373094764684,-0.06033469563669025,0.5463428611077545,-0.2743398529838853,-0.3720074787450739,0.8375904447026823,0.7391945569896625,0.9958551723408835,0.9739686521366417,0.8947456242624889,-0.6042308909463996,0.3362270457706915,0.3109293451393653,-0.7767088058289939,0.5322159962806297,0.17536812817195435,-0.021175787196166973,0.6619618087904058,-0.9660991703990034,-0.9996127863499722,0.5852329577511528,-0.9969384095286792,-0.13664861598157374,-0.6769095916554435,0.7524185738755618,0.11076696015047838,-0.6560065361790649,-0.8249278552540775,0.18603007366463653,-0.2765232657266823,-0.07621085272817218,-0.9925849298249889,-0.6519509522163132,-0.9493093666321997,-0.5446372841224307,0.6266535285750954
2015-01-12,-0.3970142314551487,-0.2473050826510047,-0.35257122154484133,-0.25421733065653707,0.6153601682598386,-0.4118684525948978,-0.605631119627374,0.672244058744514,-0.3340020399529089,0.38456475350776986,0.018100794900481665,-0.1966094147259485,-0.5091919217104226,0.3125805453508488,-0.13024389205300746,-0.5231646361622498,-0.4432063356833844,0.9834189304539616,0.333633265922757,-0.3616955093516788,0.2549911766549595,-0.1793626373472692,-0.305768382581327,0.7484261595613162,0.7435223435051455,0.9958862863190632,0.9778814255383854,0.8351993871308074,-0.762019075317304,0.5173800533718547,0.43465120907467036,-0.7304475392917493,0.2749818020193304,0.22317936220957701,-0.04121520825101155,0.4610992006715908,-0.9563864341062974,-0.9996184610115023,0.5768752762507126,-0.9993457340986346,0.3696484948808949,-0.28525613976954567,0.7799438706035637,0.19694436487157763,-0.6895245964696444,-0.7475375633179511,0.18395429554094478,-0.37705512378867656,-0.07863104608151494,-0.9918753346909146,-0.6567807519221125,-0.9334287759484639,-0.98809422591789,0.7631477989446291
2015-01-13,-0.3607085043862569,-0.3200549453059842,-0.40668384138738356,-0.42297329781259074,0.782427959721151,-0.42254734603906463,-0.6169543386797636,0.6842492711230179,-0.4774965317940695,0.12902678923064714,0.044855474092836634,-0.48938550688309157,-0.4709477423449484,-0.025288117175657043,-0.06067903050118606,-0.7051098715962436,-0.6437341285690884,0.8234178781416026,0.3861574379736028,-0.4098367952516775,0.41807809137302887,-0.3983215628964044,-0.30932872074745565,0.6629738082021277,0.9477418365047823,0.9943301329340515,0.9784381444365884,0.7609016459954936,-0.81140547650755,0.27740367432425006,0.6046762291690977,-0.7649653648081982,0.28796897757430107,0.042736589974558425,-0.06984720279840495,0.2531886088888664,-0.993879381316982,-0.9996935431199852,0.5979376414347597,-0.9997727594317524,0.5104413857050465,0.2857285728246881,0.7223533305148002,0.5494718445511351,-0.7417190702450066,-0.7347457953728085,0.1966714137078005,-0.42122952312071194,-0.08066622215833053,-0.9910849685893312,-0.661610551627912,-0.9179723746652897,-0.5315693158917554,0.9644434486171936
2015-01-14,-0.4953121741095663,-0.1960441760041024,-0.3958240942829706,-0.432542617164285,0.7942700649905592,-0.27217985375841025,-0.5892294388662274,0.6600011639850072,-0.5317751771937912,0.17007000518823046,0.19764916770809404,-0.5870043171775837,-0.5569450963045692,-0.06663090725669119,0.10999784921969313,-0.6982135849413273,-0.7910048992129048,0.681586859120189,0.4249109078843192,-0.6070494160767703,0.480242959666481,-0.3367774366551899,-0.2575186562497652,0.7793026683202016,0.9954955310679094,0.9952592660436048,0.9713712300233595,0.8518773551630521,-0.8596802541175195,0.04685813198765243,0.6599640055430975,-0.7617887717817331,-0.005459718980317274,-0.013435101266577876,-0.017707424680935557,0.3275503805431652,-0.9931798746613506,-0.9996821110367535,0.6159080191810415,-0.9999334012896652,0.6801338901122782,0.34512072079252376,0.7243987881014025,0.6028058136727192,-0.6810311387625505,-0.8007229288099311,0.25097036188560073,-0.5954017420696409,-0.08136520517561663,-0.9901923752048504,-0.6664403513337114,-0.9036824942336779,-0.5381927820392336,0.9844081909369613
2015-01-15,-0.5483717828881063,0.01979389148617572,-0.3868989761942043,-0.5189158269247879,0.8824762958657788,0.01412321093236546,-0.5889587726285843,0.6833408261826512,-0.6215218649169205,0.14662870441611897,0.33003666757894323,-0.7265060375800866,-0.7368963470559222,0.017094693517137438,0.18374086152463254,-0.7722697454720822,-0.8232131461903562,0.4545502275905189,0.4809791245185051,-0.8306012397487981,0.28262638463696454,-0.28113487490503075,-0.2027547240649501,0.7278136420985557,0.7035161634975626,0.9962216274152462,0.9592810979579596,0.9229812391318446,-0.8665794497886783,0.44198772808569387,0.6984959078663999,-0.7473685485029504,-0.11300857982926116,0.029545921877103476,-0.02648389981354593,0.07100579611558455,-0.9941481869491071,-0.9995216512731029,0.6811241508364305,-0.9995201091740878,0.3022852321219558,0.4082135752747713,0.7672108465008345,0.6331580657711495,-0.5897571016933836,-0.710469437753328,0.31481921918123357,-0.7532183586422299,-0.08015767521777106,-0.9891600675351242,-0.6709210827300609,-0.8908242530289794,-0.07402352757364639,0.9928731657162466
2015-01-16,-0.2923964563018723,0.06311858495846145,-0.39507230725505893,-0.5071611788161727,0.8724616509368335,0.08845571090742022,-0.5835036138916017,0.7911979897625614,-0.6681448961337602,-0.0007010532883645615,0.39509230201779366,-0.7968939334954697,-0.791790785299457,0.027458135778519077,0.30534606899107786,-0.9120795022893232,-0.8019715325184255,0.36631974892753316,0.5469857574431336,-0.7487552953935437,0.06481584138119656,-0.15369571650967684,-0.13904836784865893,0.7513090503176079,0.7150804502805492,0.9974735329045286,0.9610942042437127,0.9195713586428489,-0.8721091767747828,0.35078012786292145,0.7105795801933548,-0.6977202989956199,-0.3798824073857877,0.09705038813000977,-0.009559657425155632,-0.04995202227238038,-0.9910649532326572,-0.9996760384079203,0.7449838784914926,-0.9995723024009454,0.7021328338656048,0.747382593189083,0.8261525127586238,0.7195001544689708,-0.7235065801002294,-0.7002653518821016,0.3104319640173021,-0.6172503709361654,-0.07707108358188353,-0.9879116313155132,-0.6754018141264102,-0.8765873962724378,-0.25972050229868304,0.99666385593013
2015-01-19,-0.13376624735906195,-0.013535764078652313,-0.34233968972378614,-0.5799996509448968,0.8566728836178688,0.3371162840415165,-0.5503370062262185,0.7150500163543381,-0.6532999842737237,-0.10041621885803564,0.48728833296328133,-0.6797539984374007,-0.7455975000705528,-0.06839343409846166,0.3968305670877066,-0.829727091578261,-0.6007995856425135,0.5389269328380182,0.5180221231909337,-0.8108070827320405,0.4694111147839688,-0.1085330113609313,-0.14603066074554005,0.281418915929736,0.7680554107238282,0.9979969087666509,0.9502981525480121,0.9339154210415705,-0.7080826940892624,0.4118674888366429,0.7420393256404165,-0.6173785149079368,-0.35926256674687385,0.26228070670242465,0.05845539732400051,-0.21385824783053542,-0.9947189008804852,-0.999755562854679,0.7419252835256549,-0.9955289902611938,0.4858844895979406,0.7987884405008363,0.8408175716849506,0.842494842850674,-0.8969597949754112,-0.747465775150165,0.3453056092209037,-0.5326890872048198,-0.07586025396343188,-0.9868290098485678,-0.6798825455227597,-0.8631193828044204,0.41977547910427804,0.9839256529385358
