,KS113days,KS117days,KS1115days,KS1130days,KQ113days,KQ117days,KQ1115days,KQ1130days,IXIC3days,IXIC7days,IXIC15days,IXIC30days,TWII3days,TWII7days,TWII15days,TWII30days
2015-01-06,-0.5794075427378264,-0.1090956544434252,1.040323633041893,2.217408325720998,0.9229398663697016,2.302004454342977,5.183073496659248,8.714476614699326,1.7972862310507935,-0.2847888371373241,2.5618099244073815,5.2440909002981275,-0.3890400264823247,-1.0122804236740885,2.1949275995216735,3.29228357222418
2015-01-07,2.24441552232463,1.683444447395684,3.7159021487954553,4.196658609790433,2.521023438897841,4.023975666487745,5.178028269815719,8.981928788692082,2.424043163775871,-0.4772750035926282,1.9326153886351116,6.674229327155482,1.8482948253491776,1.290291920949036,5.230241127101767,5.869584918338616
2015-01-08,1.9704538095263437,0.22825838849578692,4.127230164080623,4.304528540261072,2.39435616047886,2.8664576355732767,5.891470106178282,9.08394498681677,0.30620560932550434,-0.3459865346943458,-0.268359972217872,5.502454590611259,1.0815972088382289,0.6409628098399985,4.744776758820671,5.499394829786933
2015-01-09,0.6557635261071593,-0.10658126164913238,2.434568030871808,3.164360906203238,0.8068075490351942,2.0320251399113936,4.711967939551235,8.099853468213194,-1.5770059900468436,-1.9335161807275432,-1.1143978598831497,3.9802034969036346,-0.06743862057171693,-0.6924636529649846,2.044483510012405,3.6957013562415346
2015-01-12,-0.5735958850729965,-0.33199979217540915,1.2760430196913777,2.0896763131916676,0.2059372763922494,1.6195745126441947,3.244384718756005,6.862248904867438,-1.376467612089106,-1.0463279670582994,-1.4632010152910124,5.354937320235468,-0.3835895299047956,0.3918364335180269,1.587854481215506,3.9483136167229906
2015-01-13,-0.35451209037194853,0.014576121190034758,1.6517868762851724,2.4696113901975614,1.1535249495441566,1.6667826571090611,2.6985176421462858,7.091655647574638,-2.012772498183174,0.05809578730510656,0.2568219674963623,6.3510914933618645,-0.14392643517861836,1.5406992580325318,2.273732608435119,4.3705261322903075
2015-01-14,-1.5131915248755954,0.19195259605453102,1.8162471181030042,3.0764576400262778,1.1225919439579628,1.2994746059544586,3.9071803852889575,8.810858143607696,-0.5817869784404138,1.9071114448138933,1.4210018234473836,6.577711037219777,-1.0129118915054314,1.491691761086689,2.3498126042591947,4.306527437769466
2015-01-15,-0.5769049883469473,1.1720995370128358,2.567331709917116,4.013774651714512,0.6565999616838385,2.636849713499484,4.190396572443713,7.384572513367138,0.11413310571376997,2.555546933602347,1.6679168498831751,7.066121759223348,-0.06720964507425274,3.1666962592440595,3.6348762503771748,5.6568299487050036
2015-01-16,0.21785240369042208,1.125309538487256,2.0217956889255655,4.124045263146887,0.15136139252481046,1.539414162610304,3.340270730490714,6.138736476375592,1.8384009871314264,4.396147737167522,4.2504408399368305,9.124620965166,0.9448897937718054,3.410550251006809,3.785669316940686,4.986421300827381
2015-01-19,1.7530572577100045,3.4038969774326966,3.569139836769707,5.172842971617412,1.200187042136448,1.8063421139225273,4.627561005178301,8.16577475277532,0.712932474246824,1.0167487344585444,2.3739960900918686,7.102352418230693,1.9852729558812232,4.194439003358387,3.4786595741654005,5.180837990477416
2015-01-20,0.9565756693401755,3.098884695840475,2.3325729783141202,4.9505418843489535,0.08305360418034821,2.8463162265979047,2.735578087690754,7.590753365401233,2.277583825570039,-0.14263830263649407,1.752459568769434,7.825944669256776,2.1304635025277876,3.6718748296828294,2.697170064289971,4.657697900384357
2015-01-21,0.9268574943570107,1.7051467176837964,0.9148677742387809,4.3303741313969155,1.2090610884984567,1.863396705995504,1.8342006285743835,7.448434575025333,2.213390334812072,0.6135536053793246,2.8529383331363904,6.983039195677611,2.3698372945915827,1.8938161568318772,1.5349628013908834,3.827192653450342
2015-01-22,0.7521223382936996,1.4589611863233436,1.2736632261624077,4.010972137640987,1.0267994660642776,1.2390046890508966,2.9212444809528586,7.873840572269566,2.235496269887864,-0.6894601300075907,2.865823088558566,6.421534809380777,1.6949025237909865,0.45280378895910633,1.5291248332834415,3.2406587758632024
2015-01-23,1.6440895034412466,1.6586666111348343,1.0833914682271204,4.0378588311242165,1.6285743923100986,2.048684347014284,4.118114864631246,9.164620863732235,-1.4504041764903932,-1.5516588076793543,2.2568625799932645,4.892430111148551,1.6231371757968123,0.1865625843827432,1.3533258409457833,2.4075965552093965
2015-01-26,1.316571027173324,0.8196932993817497,1.105837022039269,3.96934026827266,0.8620250801785209,0.6787599056523732,3.183383957509648,7.895674602501246,-2.5198197516541048,-0.633475413419429,2.8575752225781237,3.562300856684065,0.42213338908281084,-0.2345068176970918,0.6184180239764976,1.8459624915795045
2015-01-27,0.7924863613820424,1.4005414118035986,1.1649652835179345,2.9519342040006546,0.4709150658942258,1.336517938814918,3.357387268353819,6.592810922519218,-1.8515180981440886,-1.153871946619285,2.6152824115211173,3.576877294750771,-0.5356801829985686,0.38247797190659727,1.073787122784402,0.900115745747631
2015-01-28,-0.16082769924196375,0.02253636549886433,0.4635320631018211,1.6579594345420963,0.6362275449101812,2.2063826891671057,3.61663037561241,5.809403919433855,-0.9881448253764866,1.7857524297767886,4.651714194168545,3.8086083520239273,-1.6770308320354088,-0.1001933500602407,0.6075665933945944,0.15690656707546227
2015-01-29,-0.4537158820950389,-0.308934634325388,0.170270904067137,0.9813517674527678,-0.693147596695773,1.638654755295346,3.01485556621073,4.243005434142571,0.8344131832970709,2.2943128381044344,5.7863427907347775,4.5698675503828134,-1.3030285187973434,-0.575548947946148,0.720435036778781,0.12890445929521244
