Code,Sector,f_rank,s_date
140860,전자장비와기기,1,2015-11-17
058470,반도체와반도체장비,6,2016-02-08
035900,방송과엔터테인먼트,7,2015-09-07
068760,제약,23,2016-02-08
039200,생물공학,29,2015-10-27
278280,전기제품,46,2015-09-10
215000,게임엔터테인먼트,66,2018-02-01
067160,양방향미디어와서비스,68,2018-09-10
086520,화학,109,2015-03-02
048410,화장품,124,2015-09-07
144510,건강관리업체및서비스,130,2016-08-26
025900,건축자재,131,2018-07-26
100090,조선,147,2016-05-30
025980,"호텔,레스토랑,레저",171,2018-01-24
003380,식품,262,2022-02-21
