,Sector,Today_Date,Similar_Dates
25,전기제품,2022-05-17~2022-06-14,[]
26,전자장비와기기,2022-05-17~2022-06-14,"['2019-10-29~2019-11-26', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30', '2017-12-26~2018-01-23']"
27,제약,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30', '2017-12-26~2018-01-23']"
28,조선,2022-05-17~2022-06-14,"['2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06']"
29,증권,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18', '2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-10-08~2019-11-05']"
30,철강,2022-05-17~2022-06-14,"['2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06']"
31,항공사,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18', '2019-10-22~2019-11-19', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-09-11~2018-10-09', '2018-01-09~2018-02-06']"
32,항공화물운송과물류,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18']"
33,해운사,2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2020-01-21~2020-02-18', '2018-09-11~2018-10-09', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13']"
34,"호텔,레스토랑,레저",2022-05-17~2022-06-14,"['2020-01-28~2020-02-25', '2019-09-03~2019-10-01', '2018-09-25~2018-10-23', '2018-09-18~2018-10-16', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06']"
35,화장품,2022-05-17~2022-06-14,"['2019-10-29~2019-11-26', '2019-10-22~2019-11-19', '2019-10-15~2019-11-12', '2019-10-08~2019-11-05', '2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-04~2018-10-02', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30', '2017-12-26~2018-01-23', '2017-12-19~2018-01-16']"
36,화학,2022-05-17~2022-06-14,"['2019-09-17~2019-10-15', '2019-09-03~2019-10-01', '2018-09-04~2018-10-02', '2018-01-23~2018-02-20', '2018-01-16~2018-02-13', '2018-01-09~2018-02-06', '2018-01-02~2018-01-30']"
