,Name,Code,Sector
184,신풍제약,019170,제약
185,넥슨게임즈,225570,게임엔터테인먼트
186,대덕전자,353200,전자장비와기기
187,네이처셀,007390,생물공학
188,JB금융지주,175330,은행
189,DL,000210,화학
190,티씨케이,064760,반도체와반도체장비
191,에스엘,005850,자동차부품
192,롯데렌탈,089860,도로와철도운송
193,동화기업,025900,건축자재
194,효성티앤씨,298020,"섬유,의류,신발,호화품"
195,심텍,222800,전자장비와기기
196,대성홀딩스,016710,가스유틸리티
197,한미반도체,042700,반도체와반도체장비
198,한샘,009240,가구
199,DGB금융지주,139130,은행
